Filename,Component 1,Component 2
lbp_P100_L_CM_CC.jpg,-16.182314,-3.2978995
lbp_P100_L_CM_MLO.jpg,-10.097604,18.287071
lbp_P100_R_CM_CC.jpg,6.190824,8.109771
lbp_P100_R_CM_MLO.jpg,-8.591012,7.9986453
lbp_P101_L_CM_CC.jpg,1.1044965,-11.509884
lbp_P101_L_CM_MLO.jpg,12.017459,15.709588
lbp_P101_R_CM_CC.jpg,-13.57792,4.4978056
lbp_P101_R_CM_MLO.jpg,27.97595,2.712827
lbp_P102_L_CM_CC.jpg,-3.2182655,-27.275356
lbp_P102_L_CM_MLO.jpg,-26.120823,-8.757401
lbp_P102_R_CM_CC.jpg,-19.891287,-16.864656
lbp_P102_R_CM_MLO.jpg,15.135694,-17.518719
lbp_P103_L_CM_CC.jpg,-9.74392,-8.322728
lbp_P103_L_CM_MLO.jpg,26.858965,3.6414587
lbp_P103_R_CM_CC.jpg,15.3825445,-17.22715
lbp_P103_R_CM_MLO.jpg,-0.3927755,7.919913
lbp_P104_L_CM_MLO.jpg,-23.843336,12.12401
lbp_P104_R_CM_CC.jpg,-22.101147,-13.455656
lbp_P105_L_CM_CC.jpg,19.401936,9.423751
lbp_P105_L_CM_MLO.jpg,-16.583649,-6.8324857
lbp_P105_R_CM_CC.jpg,1.2768942,-29.582905
lbp_P105_R_CM_MLO.jpg,22.591663,-10.044272
lbp_P106_L_CM_MLO.jpg,-11.07833,-3.31318
lbp_P106_R_CM_CC.jpg,25.197926,1.0351806
lbp_P107_L_CM_CC.jpg,-5.9411473,18.561846
lbp_P107_R_CM_CC.jpg,13.388293,23.501484
lbp_P107_R_CM_MLO.jpg,-22.63255,13.040002
lbp_P108_L_CM_CC.jpg,-1.0910823,-25.93853
lbp_P108_R_CM_CC.jpg,1.0361657,-4.563103
lbp_P109_L_CM_CC.jpg,-1.0215245,0.6975337
lbp_P10_L_CM_CC.jpg,-4.5878086,-6.489049
lbp_P10_L_CM_MLO.jpg,-8.384698,-23.364576
lbp_P10_R_CM_CC.jpg,24.43487,-15.561128
lbp_P10_R_CM_MLO.jpg,-2.4390874,15.118656
lbp_P110_L_CM_MLO.jpg,-64.55044,5.269618
lbp_P110_R_CM_CC.jpg,-58.41807,-2.9297175
lbp_P110_R_CM_MLO.jpg,-60.182594,3.7700799
lbp_P111_L_CM_CC.jpg,25.210629,10.80385
lbp_P111_L_CM_MLO.jpg,-16.271133,-18.07232
lbp_P111_R_CM_CC.jpg,-24.996758,-6.3687744
lbp_P111_R_CM_MLO.jpg,-7.867794,11.504781
lbp_P112_L_CM_CC.jpg,0.7888145,25.784655
lbp_P113_L_CM_CC.jpg,-6.8776193,-13.77646
lbp_P113_L_CM_MLO.jpg,25.518852,2.8134086
lbp_P113_R_CM_MLO.jpg,31.019482,2.04071
lbp_P114_L_CM_CC.jpg,-58.33819,-2.0782647
lbp_P114_L_CM_MLO.jpg,-63.54103,-0.5891661
lbp_P114_R_CM_CC.jpg,-62.43604,-0.8337014
lbp_P114_R_CM_MLO.jpg,-57.108826,1.0939577
lbp_P115_L_CM_CC.jpg,11.999451,1.7331606
lbp_P115_L_CM_MLO.jpg,8.159306,-16.521013
lbp_P115_R_CM_CC.jpg,-5.932659,-0.3196218
lbp_P115_R_CM_MLO.jpg,-26.434196,3.423935
lbp_P116_L_CM_MLO.jpg,30.587944,14.511252
lbp_P116_R_CM_CC.jpg,20.588573,0.43675658
lbp_P116_R_CM_MLO.jpg,8.642944,29.010422
lbp_P117_R_CM_CC.jpg,26.445826,-14.852978
lbp_P118_L_CM_CC.jpg,-1.7908585,22.168228
lbp_P118_R_CM_CC.jpg,11.768396,18.850513
lbp_P118_R_CM_MLO.jpg,-20.051992,-13.147786
lbp_P119_L_CM_CC.jpg,-17.926018,-24.290833
lbp_P119_L_CM_MLO.jpg,17.583418,7.577682
lbp_P119_R_CM_CC.jpg,8.600686,11.616913
lbp_P119_R_CM_MLO.jpg,-21.02523,-17.589674
lbp_P11_R_CM_CC.jpg,18.802446,7.8006964
lbp_P11_R_CM_MLO.jpg,-3.8847125,-4.6374493
lbp_P120_L_CM_MLO.jpg,8.255249,-22.478514
lbp_P121_L_CM_CC.jpg,-2.707838,-3.207234
lbp_P121_R_CM_MLO.jpg,15.739482,-17.253786
lbp_P122_L_CM_CC.jpg,11.896981,3.5879188
lbp_P122_L_CM_MLO.jpg,-19.811611,-13.816524
lbp_P122_R_CM_CC.jpg,30.547194,13.308473
lbp_P122_R_CM_MLO.jpg,12.493268,27.753489
lbp_P123_L_CM_CC.jpg,25.317167,-16.07496
lbp_P123_L_CM_MLO.jpg,0.2677287,-27.796728
